,Sale_id,Sale_date,Country,Region,City,Product_name,Category,Storage,Color,Is_5g,Unit_price_usd,Discount_pct,Units_sold,Discounted_price_usd,Fx_rate_to_usd,Revenue_local_currency,Sales_channel,Payment_method,Customer_segment,Customer_age_group,Previous_device_os,Customer_rating,Return_status,Revenue_before_discount,Revenue_after_discount,Total_price_product,Price_range,Integer_part,Revenue_usd_currency
0,SAMS-00000001,01-01-2021,Argentina,South America,Buenos Aires,Samsung Galaxy Tab S9 Ultra,Galaxy Tab,1 TB,Graphite,No,1246.77,0,1,1246.77,907.0,1130820.39,E-commerce Platform,Samsung Pay,Business,45–54,Nil,3.2,Kept,1246.77,1246.77,1246.77,Premium,1130820,1246.77 ARS
1,SAMS-00000002,23-03-2021,Argentina,South America,Buenos Aires,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Violet,Yes,809.84,10,2,728.86,907.0,1322152.04,Authorized Reseller,Net Banking,Government,55+,Feature Phone,Nil,Kept,1619.68,1457.72,1619.68,Upper Mid-range,1322152,1457.72 ARS
2,SAMS-00000003,22-05-2021,Argentina,South America,Buenos Aires,Samsung Galaxy A34 5G,Galaxy A,128 GB,Awesome Black,Yes,410.19,12,6,360.97,907.0,1964398.74,Corporate / B2B,Gift Card,Individual,25–34,New User,3.5,Kept,2461.14,2165.82,2461.14,Mid-range,1964398,2165.82 ARS
3,SAMS-00000004,26-07-2021,Argentina,South America,Buenos Aires,Samsung T55 27-inch FHD,Monitor,Nil,Black,No,242.69,0,3,242.69,907.0,660359.49,Third-Party Retailer,BNPL (Buy Now Pay Later),Enterprise,55+,Nil,4.0,Kept,728.0699999999999,728.0699999999999,728.0699999999999,Mid-range,660359,728.07 ARS
4,SAMS-00000005,02-09-2021,Argentina,South America,Buenos Aires,Samsung Galaxy Z Fold 4,Galaxy Z,256 GB,Cream,Yes,1562.98,0,2,1562.98,907.0,2835245.72,Authorized Reseller,Gift Card,Business,55+,Android (Other),3.0,Kept,3125.96,3125.96,3125.96,Premium,2835245,3125.96 ARS
5,SAMS-00000006,15-09-2021,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 5,Galaxy Watch,Nil,Silver,No,255.89,20,2,204.71,907.0,371343.94,E-commerce Platform,Net Banking,Government,25–34,Nil,2.6,Kept,511.78,409.42,511.78,Mid-range,371343,409.42 ARS
6,SAMS-00000007,02-11-2021,Argentina,South America,Buenos Aires,Samsung 870 EVO 1TB SSD,Accessories,Nil,Black,No,121.95,15,4,103.66,907.0,376078.48,Carrier Store,Net Banking,Enterprise,55+,Nil,4.5,Kept,487.8,414.64,487.8,Mid-range,376078,414.64 ARS
7,SAMS-00000008,26-01-2022,Argentina,South America,Buenos Aires,Samsung Galaxy M14 5G,Galaxy M,128 GB,Dark Blue,Yes,186.85,7,2,173.77,907.0,315218.78,Third-Party Retailer,Debit Card,Education,25–34,Feature Phone,Nil,Kept,373.7,347.54,373.7,Mid-range,315218,347.54 ARS
8,SAMS-00000009,22-02-2022,Argentina,South America,Buenos Aires,Samsung Galaxy Buds Live,Galaxy Buds,Nil,Lime,No,161.12,2,1,157.9,907.0,143215.3,Online (Samsung.com),EMI / Installment,Individual,18–24,Nil,Nil,Kept,161.12,157.9,161.12,Mid-range,143215,157.9 ARS
9,SAMS-00000010,28-02-2022,Argentina,South America,Buenos Aires,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome Violet,Yes,429.3,0,3,429.3,907.0,1168125.3,Third-Party Retailer,Net Banking,Government,25–34,Android (Other),4.7,Kept,1287.9,1287.9,1287.9,Mid-range,1168125,1287.9 ARS
